date,pageviews
2011-04-19,764
2011-04-25,1308
2011-05-02,1219
2011-05-09,777
2011-05-16,1098
2011-05-23,661
2011-05-30,799
2011-06-06,642
2011-06-13,756
2011-06-20,513
2011-06-27,480
2011-07-04,918
2011-07-11,823
2011-07-18,708
2011-07-25,855
2011-08-01,1132
2011-08-08,1178
2011-08-15,1320
2011-08-22,871
2011-08-29,1085
2011-09-05,891
2011-09-12,1229
2011-09-19,1132
2011-09-26,1321
2011-10-03,1458
2011-10-10,1224
2011-10-17,1119
2011-10-24,1008
2011-10-31,1209
2011-11-07,1116
2011-11-14,1633
2011-11-21,1784
2011-11-28,1920
2011-12-05,1416
2011-12-12,1128
2011-12-19,775
2011-12-26,363
2012-01-02,1247
2012-01-09,1497
2012-01-16,1560
2012-01-23,1306
2012-01-30,1681
2012-02-06,1395
2012-02-13,1352
2012-02-20,1155
2012-02-27,1433
2012-03-05,1422
2012-03-12,1093
2012-03-19,1100
2012-03-26,1705
2012-04-02,1151
2012-04-09,796
2012-04-16,1464
2012-04-23,1607
2012-04-30,2302
2012-05-07,1178
2012-05-14,1248
2012-05-21,1631
2012-05-28,1499
2012-06-04,685
2012-06-11,136
2012-06-18,123
2012-06-25,47
2012-07-02,58
2012-07-09,90
2012-07-16,26
2012-07-23,83
2012-07-30,137
2012-08-06,4
2012-08-13,17
2012-08-20,16
2012-08-27,1
2012-09-03,12
2012-09-10,7
2012-09-17,29
2012-09-24,22
2012-10-01,6
2012-10-08,4
2012-10-15,6
2012-10-22,1
2012-10-29,5
2012-11-05,7
2012-11-12,0
2012-11-19,0
2012-11-26,4
2012-12-03,4
2012-12-10,0
2012-12-17,5
2012-12-24,0
2012-12-31,0
2013-01-07,0
2013-01-14,0
2013-01-21,0
2013-01-28,0
2013-02-04,0
2013-02-11,1626
2013-02-18,2237
2013-02-25,2369
2013-03-04,2546
2013-03-11,2762
2013-03-18,4333
2013-03-25,1963
2013-04-01,1731
2013-04-08,2759
2013-04-15,2158
2013-04-22,2951
2013-04-29,2687
2013-05-06,2198
2013-05-13,2266
2013-05-20,2514
2013-05-27,2076
2013-06-03,1864
2013-06-10,2708
2013-06-17,2170
2013-06-24,2252
2013-07-01,2750
2013-07-08,2933
2013-07-15,2322
2013-07-22,3019
2013-07-29,1937
2013-08-05,1398
2013-08-12,2110
2013-08-19,2795
2013-08-26,1887
2013-09-02,3579
2013-09-09,2559
2013-09-16,2287
2013-09-23,2184
2013-09-30,2567
2013-10-07,2648
2013-10-14,2734
2013-10-21,2893
2013-10-28,2330
2013-11-04,2085
2013-11-11,2059
2013-11-18,2313
2013-11-25,2370
2013-12-02,2737
2013-12-09,2357
2013-12-16,2461
2013-12-23,542
2013-12-30,1148
2014-01-06,2368
2014-01-13,3365
2014-01-20,3110
2014-01-27,3354
2014-02-03,3329
2014-02-10,3086
2014-02-17,3150
2014-02-24,3273
2014-03-03,2808
2014-03-10,3201
2014-03-17,3283
2014-03-24,3466
2014-03-31,3281
2014-04-07,3426
2014-04-14,3067
2014-04-21,3065
2014-04-28,3575
2014-05-05,4965
2014-05-12,4462
2014-05-19,2762
2014-05-26,2977
2014-06-02,4080
2014-06-09,3871
2014-06-16,3935
2014-06-23,3187
2014-06-30,2416
2014-07-07,2782
2014-07-14,3208
2014-07-21,2488
2014-07-28,2699
2014-08-04,2464
2014-08-11,3022
2014-08-18,1973
2014-08-25,2159
2014-09-01,2832
2014-09-08,2362
2014-09-15,2169
2014-09-22,2377
2014-09-29,3206
2014-10-06,2728
2014-10-13,2389
2014-10-20,2862
2014-10-27,2654
2014-11-03,3165
2014-11-10,2707
2014-11-17,2681
2014-11-24,2867
2014-12-01,2109
2014-12-08,1910
2014-12-15,1878
2014-12-22,872
2014-12-29,1067
2015-01-05,3668
2015-01-12,3590
2015-01-19,3290
2015-01-26,3005
2015-02-02,2725
2015-02-09,2321
2015-02-16,2728
2015-02-23,3693
2015-03-02,3340
2015-03-09,3093
2015-03-16,3627
2015-03-23,3079
2015-03-30,2824
2015-04-06,2624
2015-04-13,3034
2015-04-20,3258
2015-04-27,3302
2015-05-04,3215
2015-05-11,4033
2015-05-18,3173
2015-05-25,3059
2015-06-01,3700
2015-06-08,3656
2015-06-15,3119
2015-06-22,3457
2015-06-29,2702
2015-07-06,4034
2015-07-13,2367
2015-07-20,3157
2015-07-27,3324
2015-08-03,2667
2015-08-10,3099
2015-08-17,3141
2015-08-24,3929
2015-08-31,2417
2015-09-07,2522
2015-09-14,2667
2015-09-21,3022
2015-09-28,3345
2015-10-05,4282
2015-10-12,2963
2015-10-19,3415
2015-10-26,3398
2015-11-02,3795
2015-11-09,3161
2015-11-16,3505
2015-11-23,3384
2015-11-30,3812
2015-12-07,3546
2015-12-14,3292
2015-12-21,1918
2015-12-28,1289
2016-01-04,3101
2016-01-11,3860
2016-01-18,3841
2016-01-25,3139
2016-02-01,3519
2016-02-08,3125
2016-02-15,2823
2016-02-22,3495
2016-02-29,3824
2016-03-07,3915
2016-03-14,3817
2016-03-21,3440
2016-03-28,3209
2016-04-04,3365
2016-04-11,4757
2016-04-18,4896
2016-04-25,4303
2016-05-02,2573
2016-05-09,3856
2016-05-16,3492
2016-05-23,3658
2016-05-30,3616
2016-06-06,3419
2016-06-13,3104
2016-06-20,3330
2016-06-27,2885
2016-07-04,3129
2016-07-11,4364
2016-07-18,3495
2016-07-25,3372
2016-08-01,3411
2016-08-08,3270
2016-08-15,2748
2016-08-22,2772
2016-08-29,2986
2016-09-05,2503
2016-09-12,2674
2016-09-19,3768
2016-09-26,3256
2016-10-03,3442
2016-10-10,3052
2016-10-17,2749
2016-10-24,3075
2016-10-31,3319
2016-11-07,3020
2016-11-14,3857
2016-11-21,3707
2016-11-28,6022
2016-12-05,3812
2016-12-12,5306
2016-12-19,2632
2016-12-26,1709
2017-01-02,3318
2017-01-09,4102
2017-01-16,3963
2017-01-23,3692
2017-01-30,4185
2017-02-06,3782
2017-02-13,4239
2017-02-20,4183
2017-02-27,4370
2017-03-06,3380
2017-03-13,3544
2017-03-20,4084
2017-03-27,4210
2017-04-03,4442
2017-04-10,3980
2017-04-17,3737
2017-04-24,4327
2017-05-01,3030
2017-05-08,4991
2017-05-15,4632
2017-05-22,2859
2017-05-29,3837
2017-06-05,3851
2017-06-12,4416
2017-06-19,3886
2017-06-26,2954
2017-07-03,2976
2017-07-10,3164
2017-07-17,3157
2017-07-24,3241
2017-07-31,3468
2017-08-07,3244
2017-08-14,3945
2017-08-21,3271
2017-08-28,2996
2017-09-04,3220
2017-09-11,3791
2017-09-18,3351
2017-09-25,3524
2017-10-02,3573
2017-10-09,3384
2017-10-16,3890
2017-10-23,4501
2017-10-30,4305
2017-11-06,4330
2017-11-13,4463
2017-11-20,4946
2017-11-27,3726
2017-12-04,3764
2017-12-11,4361
2017-12-18,3500
2017-12-25,1057
2018-01-01,2468
2018-01-08,3331
2018-01-15,4166
2018-01-22,4480
2018-01-29,4252
2018-02-05,4624
2018-02-12,4657
2018-02-19,5562
2018-02-26,5814
2018-03-05,4723
2018-03-12,4780
2018-03-19,5177
2018-03-26,3479
2018-04-02,3557
2018-04-09,4881
2018-04-16,4434
2018-04-23,5215
2018-04-30,3629
2018-05-07,3811
2018-05-14,4299
2018-05-21,4650
2018-05-28,5153
2018-06-04,5109
2018-06-11,3594
2018-06-18,5476
2018-06-25,7990
2018-07-02,17838
2018-07-09,16432
2018-07-16,16493
2018-07-23,8180
2018-07-30,6309
2018-08-06,7440
2018-08-13,8767
2018-08-20,9603
2018-08-27,11141
2018-09-03,7492
2018-09-10,6088
2018-09-17,8837
2018-09-24,12263
2018-10-01,9607
2018-10-08,7924
2018-10-15,7175
2018-10-22,7473
2018-10-29,10117
2018-11-05,8828
2018-11-12,8534
2018-11-19,6760
2018-11-26,8546
2018-12-03,8774
2018-12-10,8658
2018-12-17,6606
2018-12-24,2167
2018-12-31,8736
2019-01-07,8888
2019-01-14,8512
2019-01-21,9947
2019-01-28,15124
2019-02-04,11821
2019-02-11,10920
2019-02-18,11191
2019-02-25,10339
2019-03-04,9560
2019-03-11,11410
2019-03-18,10221
2019-03-25,8923
2019-04-01,9999
2019-04-08,8775
2019-04-15,8319
2019-04-22,7485
2019-04-29,8448
2019-05-06,8729
2019-05-13,8411
2019-05-20,8286
2019-05-27,6888
2019-06-03,7237
2019-06-10,8206
2019-06-17,8511
2019-06-24,7314
2019-07-01,6574
2019-07-08,7307
2019-07-15,7125
2019-07-22,8591
2019-07-29,7279
2019-08-05,7879
2019-08-12,6667
2019-08-19,7907
2019-08-26,7222
2019-09-02,6847
2019-09-09,8057
2019-09-16,9234
2019-09-23,7141
2019-09-30,7422
2019-10-07,7066
2019-10-14,7361
2019-10-21,7321
2019-10-28,6872
2019-11-04,6843
2019-11-11,8819
2019-11-18,8012
2019-11-25,8265
2019-12-02,6432
2019-12-09,6702
2019-12-16,5949
2019-12-23,1887
2019-12-30,2377
2020-01-06,5701
2020-01-13,7448
2020-01-20,6779
2020-01-27,7102
2020-02-03,8063
2020-02-10,7832
2020-02-17,7260
2020-02-24,7621
2020-03-02,7862
2020-03-09,7026
2020-03-16,5886
2020-03-23,5725
2020-03-30,5390
2020-04-06,4804
2020-04-13,5186
2020-04-20,5783
2020-04-27,5567
2020-05-04,5154
2020-05-11,6065
2020-05-18,4290
2020-05-25,4120
2020-06-01,4630
2020-06-08,5115
2020-06-15,4861
2020-06-22,5590
2020-06-29,5376
2020-07-06,5790
2020-07-13,4996
2020-07-20,4668
2020-07-27,4181
2020-08-03,4276
2020-08-10,4132
2020-08-17,3889
2020-08-24,4377
2020-08-31,3906
2020-09-07,4718
2020-09-14,4830
2020-09-21,5175
2020-09-28,5306
2020-10-05,4981
2020-10-12,4657
2020-10-19,4328
2020-10-26,4815
2020-11-02,4299
2020-11-09,4697
2020-11-16,5828
2020-11-23,5054
2020-11-30,5651
2020-12-07,4603
2020-12-14,5254
2020-12-21,2235
2020-12-28,1512
2021-01-04,3535
2021-01-11,4743
2021-01-18,4850
2021-01-25,4867
2021-02-01,9238
2021-02-08,5537
2021-02-15,5326
2021-02-22,5369
2021-03-01,5608
2021-03-08,5482
2021-03-15,5543
2021-03-22,6041
2021-03-29,4438
2021-04-05,4776
2021-04-12,4654
2021-04-19,5560
2021-04-26,5093
2021-05-03,3986
2021-05-10,4347
2021-05-17,4944
2021-05-24,3923
2021-05-31,4256
2021-06-07,4860
2021-06-14,4185
2021-06-21,4580
2021-06-28,4025
2021-07-05,3557
2021-07-12,3857
2021-07-19,3399
2021-07-26,3706
2021-08-02,3584
2021-08-09,3807
2021-08-16,4381
2021-08-23,3719
2021-08-30,3962
2021-09-06,3273
2021-09-13,4414
2021-09-20,4300
2021-09-27,4609
2021-10-04,4307
2021-10-11,4278
2021-10-18,4371
2021-10-25,4464
2021-11-01,4398
2021-11-08,4493
2021-11-15,4287
2021-11-22,4783
2021-11-29,5100
2021-12-06,4646
2021-12-13,3727
2021-12-20,2632
2021-12-27,1879
2022-01-03,3196
2022-01-10,4058
2022-01-17,4182
2022-01-24,4626
2022-01-31,4949
2022-02-07,4304
2022-02-14,4536
2022-02-21,4697
2022-02-28,4623
2022-03-07,5016
2022-03-14,4815
2022-03-21,4954
2022-03-28,4837
2022-04-04,4819
2022-04-11,4338
2022-04-18,4772
2022-04-25,4429
2022-05-02,4225
2022-05-09,4548
2022-05-16,4821
2022-05-23,4396
2022-05-30,3722
2022-06-06,3372
2022-06-13,4061
2022-06-20,4370
2022-06-27,4036
2022-07-04,3396
2022-07-11,4498
2022-07-18,3252
2022-07-25,3122
2022-08-01,3767
2022-08-08,4404
2022-08-15,4550
2022-08-22,5271
2022-08-29,4285
2022-09-05,4142
2022-09-12,4936
2022-09-19,3496
2022-09-26,4499
2022-10-03,4090
2022-10-10,4283
2022-10-17,4592
2022-10-24,4515
2022-10-31,4176
2022-11-07,3903
2022-11-14,4789
2022-11-21,3774
2022-11-28,4472
2022-12-05,4372
2022-12-12,4286
2022-12-19,3384
2022-12-26,1527
2023-01-02,3100
2023-01-09,4416
2023-01-16,4695
2023-01-23,4786
2023-01-30,5384
2023-02-06,5072
2023-02-13,4603
2023-02-20,4486
2023-02-27,5102
2023-03-06,6858
2023-03-13,6704
2023-03-20,5257
2023-03-27,4816
2023-04-03,3529
2023-04-10,3288
2023-04-17,3998
2023-04-24,4646
2023-05-01,3963
2023-05-08,4290
2023-05-15,3784
2023-05-22,4053
2023-05-29,3934
2023-06-05,4797
2023-06-12,4238
2023-06-19,3940
2023-06-26,3808
2023-07-03,3986
2023-07-10,3291
2023-07-17,3902
2023-07-24,3940
2023-07-31,3604
2023-08-07,3457
2023-08-14,3122
2023-08-21,3409
2023-08-28,3791
2023-09-04,3833
2023-09-11,4329
2023-09-18,4436
2023-09-25,3517
2023-10-02,4286
2023-10-09,3862
2023-10-16,4000
2023-10-23,3854
2023-10-30,3872
2023-11-06,4114
2023-11-13,4307
2023-11-20,3838
2023-11-27,4296
2023-12-04,3850
2023-12-11,3794
2023-12-18,2914
2023-12-25,1389
2024-01-01,2327
2024-01-08,3174
2024-01-15,3939
2024-01-22,3794
2024-01-29,4027
2024-02-05,3663
2024-02-12,4443
2024-02-19,2337
